Repository,Author,Unique_PR_Count
blackkittylabs/kittynode,dionysuzx,1
brentyi/jaxls,brentyi,2
brentyi/tyro,brentyi,16
chairemobilite/transition,kaligrafy,1
cloudflare/workerd,danlapid,3
cmackenzie1/torii-rs,cmackenzie1,1
codeforjapan/mapprint,halsk,2
codefriar/sf-mcp,codefriar,1
coder/coder,EdwardAngert,7
coder/coder,aslilac,1
coder/coder,bpmct,5
coder/coder,ericpaulsen,1
coder/coder,hugodutka,1
coder/coder,kylecarbs,5
coder/coder,matifali,1
coder/coder,mattvollmer,1
coder/coder,rogmanster,1
coder/coder,sreya,2
coder/coder,stirby,1
coder/modules,matifali,1
coder/packages,matifali,1
coder/vscode-coder,bcpeinhardt,1
commontoolsinc/labs,bfollington,5
commontoolsinc/labs,seefeldb,1
compiler-explorer/infra,mattgodbolt,1
cpunion/axum-params,cpunion,1
danmayer/coverband,danmayer,1
daytonaio/docs,nibzard,1
dbieber/GoNoteGo,dbieber,17
defog-ai/defog-python,rishsriv,2
defog-ai/introspect,man-shar,1
defog-ai/introspect,rishsriv,6
devondragon/SpringUserFramework,devondragon,2
devondragon/workers-users,devondragon,1
ditto-assistant/ditto-app,Peyton-Spencer,1
dominikszopa/fundraising-website,dominikszopa,1
doobidoo/mcp-memory-service,doobidoo,1
douvy/btc-tooling,claudebuildsapps,1
douvy/btc-tooling,douvy,1
dxos/dxos,dmaretskyi,1
empirical-org/Empirical-Core,brendanshean,1
etalab/admin_api_entreprise,skelz0r,1
evmts/tevm-monorepo,roninjin10,1
expectedparrot/edsl,johnjosephhorton,17
fossas/fossa-cli,jssblck,1
geneontology/go-ontology,cmungall,2
gianlucamazza/solana-mmaker,gianlucamazza,1
giselles-ai/giselle,toyamarinyon,86
github/github-mcp-server,ashwin-ant,1
goodjoblife/GoodJobShare,peteranny,1
google/tensorstore,jonathan-marcus,1
grafana/loki,trevorwhitney,1
grapeot/web_agentic_ai,grapeot,2
haya14busa/action-bumpr,haya14busa,1
hicommonwealth/commonwealth,dillchen,1
honeycombio/honeycomb-mcp,austinlparker,7
julep-ai/julep,creatorrr,2
kirschbaum-development/commentions,luisdalmolin,1
liam-hq/liam,MH4GF,2
linkml/linkml-store,cmungall,1
lipas-liikuntapaikat/lipas,vharmain,2
llun/activities.next,llun,6
llun/feeds,llun,2
ltwlf/json-diff-ts,ltwlf,4
mainframecomputer/orchestra,sayakmaity,1
making/yavi,making,2
mattermost/docker,hanzei,1
mattermost/mattermost,hanzei,12
mattermost/mattermost,lieut-data,12
mattermost/mattermost-developer-documentation,lieut-data,1
mattermost/mattermost-mobile,lieut-data,1
