owner,repo_name,url,pull_number,state
567-labs,instructor,https://github.com/567-labs/instructor/pull/1482,1482,CLOSED
567-labs,instructor,https://github.com/567-labs/instructor/pull/1437,1437,CLOSED
567-labs,instructor,https://github.com/567-labs/instructor/pull/1435,1435,CLOSED
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/28,28,CLOSED
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/157,157,CLOSED
Mastercard,terraform-provider-restapi,https://github.com/Mastercard/terraform-provider-restapi/pull/286,286,CLOSED
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/97,97,CLOSED
PolicyEngine,policyengine-api,https://github.com/PolicyEngine/policyengine-api/pull/2165,2165,CLOSED
anthropics,anthropic-cookbook,https://github.com/anthropics/anthropic-cookbook/pull/146,146,CLOSED
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/1,1,CLOSED
blackkittylabs,kittynode,https://github.com/blackkittylabs/kittynode/pull/318,318,CLOSED
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/2841,2841,CLOSED
coder,coder,https://github.com/coder/coder/pull/15207,15207,CLOSED
coder,coder,https://github.com/coder/coder/pull/17131,17131,CLOSED
coder,coder,https://github.com/coder/coder/pull/17224,17224,CLOSED
coder,coder,https://github.com/coder/coder/pull/16922,16922,CLOSED
coder,coder,https://github.com/coder/coder/pull/13420,13420,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/63,63,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/66,66,CLOSED
empirical-org,Empirical-Core,https://github.com/empirical-org/Empirical-Core/pull/12482,12482,CLOSED
evmts,tevm-monorepo,https://github.com/evmts/tevm-monorepo/pull/1329,1329,CLOSED
geneontology,go-ontology,https://github.com/geneontology/go-ontology/pull/29902,29902,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/446,446,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/365,365,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/678,678,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/380,380,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/69,69,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/379,379,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/459,459,CLOSED
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/25,25,CLOSED
lipas-liikuntapaikat,lipas,https://github.com/lipas-liikuntapaikat/lipas/pull/135,135,CLOSED
mattermost,docker,https://github.com/mattermost/docker/pull/166,166,CLOSED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/29295,29295,CLOSED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30165,30165,CLOSED
mattgodbolt,specbolt,https://github.com/mattgodbolt/specbolt/pull/10,10,CLOSED
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/118,118,CLOSED
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/19,19,CLOSED
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/62,62,CLOSED
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/59,59,CLOSED
openai,codex,https://github.com/openai/codex/pull/624,624,CLOSED
oven-sh,bun,https://github.com/oven-sh/bun/pull/18367,18367,CLOSED
qltysh,qlty,https://github.com/qltysh/qlty/pull/1958,1958,CLOSED
radio-t,radio-t-site,https://github.com/radio-t/radio-t-site/pull/393,393,CLOSED
renlabs-dev,torus-ts,https://github.com/renlabs-dev/torus-ts/pull/131,131,CLOSED
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/58,58,CLOSED
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/61,61,CLOSED
solvespace,solvespace,https://github.com/solvespace/solvespace/pull/1552,1552,CLOSED
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/2632,2632,CLOSED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/16,16,CLOSED
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/2691,2691,CLOSED
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/3490,3490,CLOSED
