Repository,Author,Unique_PR_Count
mc-bench/mc-bench-frontend,huntcsg,10
metabase/metabase,filipesilva,1
metabase/metabase,github-actions,1
mfts/papermark,nivekithan,1
modelcontextprotocol/docs,ashwin-ant,2
modelcontextprotocol/inspector,ashwin-ant,1
modelcontextprotocol/java-sdk,arcaputo3,1
modelcontextprotocol/python-sdk,bhosmer-ant,1
modelcontextprotocol/python-sdk,jerome3o-anthropic,1
modelcontextprotocol/servers,ashwin-ant,2
modelcontextprotocol/servers,leependu,1
modelcontextprotocol/servers,robtaylor,1
modelcontextprotocol/typescript-sdk,ashwin-ant,1
monarch-initiative/aurelian,cmungall,3
monarch-initiative/aurelian,justaddcoffee,2
monarch-initiative/mondo,dragon-ai-agent,1
mrwadams/stride-gpt,danieldavidson,2
muno92/resharper_inspectcode,muno92,1
natolambert/rlhf-book,natolambert,6
neondatabase-labs/ai-rules,pffigueiredo,1
nerfstudio-project/viser,brentyi,11
nkkko/daytona-mcp-interpreter,nibzard,1
nspady/google-calendar-mcp,dweddepohl,1
o1-labs/proof-systems,dannywillems,1
obophenotype/uberon,cmungall,1
openai/codex,PierrunoYT,1
openvm-org/openvm,jonathanpwang,1
osmosis-labs/osmosis,ValarDragon,2
oven-sh/bun,Electroid,1
oven-sh/bun,Jarred-Sumner,2
oven-sh/bun,dylan-conway,1
planetscale/cli,kelp,1
plotly/plotly.js,chriddyp,2
poap-xyz/poap.js,rlajous,1
portone-io/developers.portone.io,doohochang,1
potpie-ai/potpie-ui,dhirenmathur,1
pozar87/apts,pozar87,2
prescient-design/cortex,samuelstanton,1
proboscis/pinjected,proboscis,5
py-typedlogic/py-typedlogic,cmungall,2
pymc-devs/pytensor,twiecki,2
pytorch/test-infra,wdvr,3
qltysh/qlty,brynary,7
quokka-astro/quokka,BenWibking,1
radio-t/radio-t-site,paskal,1
radio-t/super-bot,umputun,2
renlabs-dev/torus-ts,EdSDR,1
renlabs-dev/torus-ts,steinerkelvin,1
rishikanthc/Scriberr,SpirusNox,8
rollbar/rollbar.js,matux,1
sakaiproject/sakai,ottenhoff,3
samzong/mdctl,samzong,1
shandley/awesome-virome,shandley,5
shopwareLabs/extension-verifier,shyim,1
sieteunoseis/cisco-axl,sieteunoseis,1
simonw/llm,dguido,1
snapshot-labs/sx-monorepo,bonustrack,1
solvespace/solvespace,GlassOnTin,1
sourcegraph/cody,umpox,1
spaceshelter/orbitar,Aivean,1
sparfenyuk/mcp-proxy,eastlondoner,1
sublime-security/sublime-rules,aidenmitchell,1
sublime-security/sublime-rules,morriscode,1
synapsecns/sanguine,aureliusbtc,1
synapsecns/sanguine,trajan0x,5
text-zen/TextZen,moekiorg,2
thefrontside/effection,taras,1
tomakado/dumbql,tomakado,13
trailofbits/publications,dykstra10,1
turlockmike/hataraku,turlockmike,1
typpo/quickchart,jmaddington,1
umputun/spot,umputun,1
umputun/tg-spam,umputun,1
utensils/mcp-nixos,jamesbrink,8
vectara/vectara-ingest,nikron,1
vfarcic/crossplane-sql,vfarcic,2
voyagegroup/ingred-ui,YOwatari,1
waldzellai/waldzell-mcp,glassBead-tc,11
xmrit/xmrit,mcpeterson,4
yumemi-inc/Tart,hkusu,40
zenml-io/zenml,strickvl,4
zilliztech/milvus-helm,faiqibrahim,1
