owner,repo_name,url,state,stars,Final Label1,Final Label2,Final Label3,Final Label4
grapeot,web_agentic_ai,https://github.com/grapeot/web_agentic_ai/pull/4,MERGED,30,ci,docs,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/583,MERGED,126,refactor,,,
coder,coder,https://github.com/coder/coder/pull/13685,MERGED,9997,chore,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/292,MERGED,126,refactor,,,
bcpeinhardt,learn_otp_with_gleam,https://github.com/bcpeinhardt/learn_otp_with_gleam/pull/1,MERGED,352,chore,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/228,MERGED,1223,fix,,,
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/5,MERGED,29,feat,chore,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30651,MERGED,32708,fix,test,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/769,MERGED,126,feat,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30672,MERGED,32708,fix,,,
cpunion,axum-params,https://github.com/cpunion/axum-params/pull/1,MERGED,12,ci,chore,,
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2122,MERGED,968,fix,,,
ascorbic,unpic-img,https://github.com/ascorbic/unpic-img/pull/720,MERGED,1728,ci,,,
proboscis,pinjected,https://github.com/proboscis/pinjected/pull/21,MERGED,14,feat,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/47,MERGED,29,docs,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/162,MERGED,126,fix,,,
axelclark,ex338,https://github.com/axelclark/ex338/pull/1353,MERGED,24,build,test,fix,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/561,MERGED,250,refactor,,,
py-typedlogic,py-typedlogic,https://github.com/py-typedlogic/py-typedlogic/pull/1,MERGED,12,feat,refactor,,
artsy,eigen,https://github.com/artsy/eigen/pull/10595,MERGED,3667,feat,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/68,MERGED,77,fix,,,
aleph-im,pyaleph,https://github.com/aleph-im/pyaleph/pull/599,MERGED,90,fix,,,
pymc-devs,pytensor,https://github.com/pymc-devs/pytensor/pull/966,MERGED,466,fix,,,
llun,activities.next,https://github.com/llun/activities.next/pull/80,MERGED,68,feat,,,
bearcove,dylo,https://github.com/bearcove/dylo/pull/1,MERGED,20,chore,,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/31,MERGED,109,build,docs,chore,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/28260,MERGED,32708,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/17,MERGED,29,fix,ci,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/201,MERGED,646,docs,refactor,test,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/193,MERGED,126,feat,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/58,MERGED,29,fix,ci,,
anthropics,anthropic-quickstarts,https://github.com/anthropics/anthropic-quickstarts/pull/262,MERGED,8994,build,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/75,MERGED,29,test,,,
artsy,force,https://github.com/artsy/force/pull/14112,MERGED,615,refactor,,,
567-labs,instructor,https://github.com/567-labs/instructor/pull/1030,MERGED,10691,refactor,fix,,
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/54,MERGED,23,refactor,,,
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/121,MERGED,29,feat,,,
commontoolsinc,labs,https://github.com/commontoolsinc/labs/pull/314,MERGED,18,feat,fix,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/684,MERGED,126,chore,,,
fossas,fossa-cli,https://github.com/fossas/fossa-cli/pull/1424,MERGED,1392,fix,,,
doobidoo,mcp-memory-service,https://github.com/doobidoo/mcp-memory-service/pull/17,MERGED,353,feat,docs,,
