owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login,state
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/66,66,14,5,4,348,0,8603a50ab32d52e9e1367e209a5e023153d38a53,69912a9eb68c0f65ec874ba25518c78d842df43c,490cdaab3a9caa889108a780b93eb4e003a714ab,f83e146a3d86eb9db2a9c64c7d90fc795ae11c57,cmungall,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/718,718,126,2,5,1,130,f9e71327672cd9f29cc7fbbceedfac08a80a0455,16253fe1abc44201524ae29bf675bae2bafc99ad,e9bf9abd98f2d87d708dc347850f1421754e94db,9fa43bc1211dbc72c6714a55346334716f4e2b54,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/742,742,126,1,4,110,1,ef2bf5a43ce091179f1a3c76fd83585dbc3223cf,a8ef905db00634ac89d99871e7442112bf7b1a6f,e2e1189767d45eaafbc797a472e15e48fd5102f4,ef2bf5a43ce091179f1a3c76fd83585dbc3223cf,toyamarinyon,MERGED
coder,coder,https://github.com/coder/coder/pull/17292,17292,9997,1,1,84,113,268fc9d739c6a96fe7428dba4f308ab87bad436c,4c93df11af391ca9a32b9ac14e830efd69dbabeb,d8ec63939923e5c46e468f50114d85d26d5acef7,268fc9d739c6a96fe7428dba4f308ab87bad436c,EdwardAngert,MERGED
mattgodbolt,jsbeeb,https://github.com/mattgodbolt/jsbeeb/pull/476,476,363,1,2,6,2,16577039d68c2dd688ad1c3ee1152c561ce836c5,c1b631d55317da8be28fbc651d9e577f40d801b7,d1d17c858ee78e1889b2a2390f5a5e363a0e5a13,16577039d68c2dd688ad1c3ee1152c561ce836c5,mattgodbolt,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/732,732,126,1,1,10,0,991ba5b9dae3a24a2e5aee46ff63c554d6f767c6,7f23964e049d7b5fa90690962e979a4e7d45cf8e,e4ca9d5abb0a960a7977b899ae48a9055ffb8f77,991ba5b9dae3a24a2e5aee46ff63c554d6f767c6,toyamarinyon,MERGED
modelcontextprotocol,python-sdk,https://github.com/modelcontextprotocol/python-sdk/pull/474,474,13842,3,4,142,3,fc9e388f8be28e7a579eb58e0ed7686fdd63e017,c4beb3e8eff4869b4eb063d3a5f257bdf67dd62f,da54ea003eef5926ecfb619ae47f38d7bd794cad,cd236f6e62fb5ae49f0e7647bab2d24d44458407,jerome3o-anthropic,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/102,102,29,2,3,88,32,9cc915594a0e8eb564eacf2a892b34a1224dd365,f3180bfec4cb959d37719831320e2ffdca033498,5a4764601179937fa15425161744d1cee9924857,91040b529660e92cddadc1be9bbd261d90defc6c,hkusu,MERGED
thefrontside,effection,https://github.com/thefrontside/effection/pull/992,992,705,1,4,12,12,e9017e849446ee47fe95a0375655cb8351fe809f,18563b1ebd44e20218f7ea0db7604cd5609bc4b9,5e3eaecc5f08a3e7ef09fe569af0ec03deb742f8,e9017e849446ee47fe95a0375655cb8351fe809f,taras,MERGED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/93,93,77,1,4,197,197,57d496bfdacba1f08a51c1d25353f5ff3e9fbc66,5d7d215daa4cf503b3e0dbc977b3328041f231b2,70f76680adc5d4b7f219b33d55d228e57d399eb7,57d496bfdacba1f08a51c1d25353f5ff3e9fbc66,dbieber,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/106,106,29,3,8,87,76,71c163e22d979f7ca1e17c09cb30b15901f21577,e0dc09b57a8cd190aca7d252addc9c61f37f1ed9,3fdaba21cdc6a6280529f50e67d19892e4a1896e,88594d8a116e7c91390740cf7e9ddb7ccfaa61f5,hkusu,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/100,100,29,1,7,28,28,84bfcdf78dd1941316aefe80675152beb3da7605,8a8f42453eeb3a502fd928bca30ae5cb08f2317f,978c873d56df427ce54c07c9c6962a49873ef496,84bfcdf78dd1941316aefe80675152beb3da7605,hkusu,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/692,692,126,1,1,0,1,68a726ecd7a06751af59f674770834cb7637c5ed,b1a9b56a1ec1ed2b868f2f91433c4ff05a7ceec8,86f6676e34fbf4244156ddfc8bdeb11b86daa27e,68a726ecd7a06751af59f674770834cb7637c5ed,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/697,697,126,2,5,55,55,05dbed6ee9f205590be4826d189aefea71835f53,e0ec65c619a7280d509c51912de25f14abfe9196,29a5d4c208f628a3d0e42de122c33bc39a21e1be,c15c4c2246214e318a4b1e2c76ea0ee400317308,toyamarinyon,MERGED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/20,20,20,1,3,12,2,b07d889655c4b65028cf51cdb1509efa0305d24b,c1501b88a5177456fbae9dbeaf2900a81be76492,e2f094ecc490dbe370c9dcb83009feb14c7a50c9,b07d889655c4b65028cf51cdb1509efa0305d24b,aklinker1,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/98,98,29,2,2,33,46,6e3c13b369193b313cfa1e86eb3d49c16087c718,574c41a331efb37cacd80c64c9ebe4909b3bc764,2d9e4b2c2f3db901ee754ca2372dc325489fa3b3,670079548dfb5faaccffdcc1f0668104c49d17fc,hkusu,MERGED
