owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login
SoftFever,OrcaSlicer,https://github.com/SoftFever/OrcaSlicer/pull/8624,8624,9756,283,553,7498,3183,79f6fff51e1d3148f77161f6262aca5fe7421cf1,N/A,ad30af74dc4b3db9a98b29cb34db29d673b83b59,70103cbfd52c655f7999fb2916af80e1965c02d2,kennethjiang
anthropics,anthropic-quickstarts,https://github.com/anthropics/anthropic-quickstarts/pull/264,264,8922,4,15,7814,3784,c4712b1622fff8da9246f6c839df6cf12c2d86c1,N/A,81c4085944abb1734db411f05290b538fdc46dcd,95c24407fb93082a090af0753b694f6bcd6a65f1,dhodun
anthropics,anthropic-quickstarts,https://github.com/anthropics/anthropic-quickstarts/pull/248,248,8922,1,18,2129,12,13c2393bdedddf05a14624d19e088820200e8e4a,N/A,ed2f35848023a67120b7678d5673ed7b056cba89,13c2393bdedddf05a14624d19e088820200e8e4a,deffgod
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/3842,3842,6746,1,1,30,6,2356dcd0695687ecec3cd90b979cf2df033a0fd2,N/A,f5383166fc31596411b581ecc3d47f24d053f20a,2356dcd0695687ecec3cd90b979cf2df033a0fd2,danlapid
mfts,papermark,https://github.com/mfts/papermark/pull/1543,1543,6722,1,4,78,1,7dbf04ce21e3dcd15f70b32d1bdd9ccbf7a9497a,N/A,cb443562a3b13be44dc773868063956e92e69c5f,7dbf04ce21e3dcd15f70b32d1bdd9ccbf7a9497a,nivekithan
julep-ai,julep,https://github.com/julep-ai/julep/pull/1276,1276,5479,5,39,3545,11,07ec773227024d7ed2dfb39682bf282b567fcbec,N/A,7a91610d39b6f15a5a6e5952c9848fba664b8b00,633687a89906ee4379f9154e5868bf6dd6cc16bc,creatorrr
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/3375,3375,4609,7,6,638,42,1ba4cb90307ea7b88ac038312477ecfea1394459,N/A,a352c40356d7915a37db2e194c416607951a4ec3,41462130b75ae14fb3da4d9ef9552821bf985048,strickvl
sourcegraph,cody,https://github.com/sourcegraph/cody/pull/7411,7411,3649,1,1,40,0,63593d049046b3896704995461e90913d1b9c0c3,N/A,f92eae22efcdc98f8c0c118a1463b97483b6609f,63593d049046b3896704995461e90913d1b9c0c3,umpox
solvespace,solvespace,https://github.com/solvespace/solvespace/pull/1553,1553,3447,4,8,755,0,de13136e4ab32a30432e4434d646295a679ea673,N/A,cc871ab0aea7928defeb7e33158211696312bec1,5d7350eb201752b3f80460b938a8b56158d364dd,GlassOnTin
cronvel,terminal-kit,https://github.com/cronvel/terminal-kit/pull/257,257,3221,1,2,190,4,7db1ae20ab8f76b7efe179259a890e0fb7ed3d16,N/A,f7e18a973827bacaab8ea35ed39eaac9e4b85a2c,7db1ae20ab8f76b7efe179259a890e0fb7ed3d16,christopherhwood
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/195,195,2484,1,3,45,0,5cba55ae2a174bdca34c66bd0b2e2afa66305047,N/A,aab7fe1c5ab0d1c6177fcb5fcdebf175f89ecdac,5cba55ae2a174bdca34c66bd0b2e2afa66305047,BBleae
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/524,524,2484,20,32,654,469,7a3e47cfc64e5e0976c373b644a043487c86c502,N/A,8ce971f2308324f2a652c13e176cd18bb9ed9422,7cad7786cc2c956464dbae331bf9f16f78ab286d,BBleae
SpinaCMS,Spina,https://github.com/SpinaCMS/Spina/pull/1399,1399,2237,4,6,226,150,96f2e2944b369bdeb0731cdd1f3d7a6e2a37d985,N/A,d5b7770c51eda8bcb0a1f2aa7850069b00a3ea76,661ebea06cd0383fba79b806feb03130a2714b58,Bramjetten
typpo,quickchart,https://github.com/typpo/quickchart/pull/211,211,1838,22,15,1108,23,6a9e5fb3a7eacf880277526915987847fa300a68,N/A,9c31a0bf89ad0e0ed534f90907658e4b03dab044,497101ed071d5cdfa1d04ce33c80f1ee89650213,jmaddington
amaranth-lang,amaranth,https://github.com/amaranth-lang/amaranth/pull/1571,1571,1705,13,16,1482,8,76da9d8557318e2a9a301af90229847625e82ca1,N/A,199c34ff43d39950add6c85149bd98a5d3569a21,975de1af330fc77674eb8404c4982a61f06db97f,robtaylor
google,tensorstore,https://github.com/google/tensorstore/pull/222,222,1409,1,2,26,1,8e6c7bc5e89571aaa72d03fa30d630286fd9800f,N/A,3486ca4ebfbdd7b72ad2e757cb9c5e4d3fa39d0e,8e6c7bc5e89571aaa72d03fa30d630286fd9800f,jonathan-marcus
OpenAdaptAI,OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/946,946,1283,14,13,3890,0,22ebc39e9f9560f85e11fc638d3faefa86d1a560,N/A,1899393e5a349e3358953a83908f581bf49f5d6f,004c55a337ec0c8baa6e278e5a141c086aa737fa,abrichr
sparfenyuk,mcp-proxy,https://github.com/sparfenyuk/mcp-proxy/pull/33,33,966,2,4,8,253,6a2cf12e2e04c5d007fce1c761cd1613d83c070f,N/A,b4f35330f0f80c660d83b60efddc26ee71ea1d0a,605c6fdbf41af9de278a54b27f98967553910abc,eastlondoner
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2529,2529,964,1,1,148,0,64eddc698c1387473ee098a362a2b3f18b2a188c,N/A,4d2d1fd54f5e15a82901882be7fcc64744a34e40,64eddc698c1387473ee098a362a2b3f18b2a188c,banteg
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2532,2532,964,1,2,95,3,7b13c57282b7031b89fd4484dc2a182c7fcee36f,N/A,4d2d1fd54f5e15a82901882be7fcc64744a34e40,7b13c57282b7031b89fd4484dc2a182c7fcee36f,banteg
osmosis-labs,osmosis,https://github.com/osmosis-labs/osmosis/pull/9029,9029,941,2,8,37,22,490da2a508768c837d63c6607206104e3cd175b6,N/A,0da1096a1594f417c510fd746f7342039c6a7370,fd4bca2c6da781039833345570c15d0613bdf723,ValarDragon
osmosis-labs,osmosis,https://github.com/osmosis-labs/osmosis/pull/9027,9027,941,2,4,83,47,811ab64200f04ccb2e92fdf480412d60a2ff056a,N/A,0da1096a1594f417c510fd746f7342039c6a7370,8a9c38134d078349d2209daf66dc0b798e4c857a,ValarDragon
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/80,80,916,1,4,31,31,ce77828f4f51b4d1a8f78f007d8c6137b0b1da8a,N/A,75f44d88d09c4c2704d70d2ed2970d1bf4028329,ce77828f4f51b4d1a8f78f007d8c6137b0b1da8a,natolambert
Mastercard,terraform-provider-restapi,https://github.com/Mastercard/terraform-provider-restapi/pull/285,285,855,1,16,1247,14,c13baae0fc4e749cd936dbec1ece3484ba2dc1f6,N/A,443e1341e6f89e92c1fb83a15721d1c910238b67,c13baae0fc4e749cd936dbec1ece3484ba2dc1f6,jplana
ekkinox,yai,https://github.com/ekkinox/yai/pull/117,117,798,6,25,2593,248,533a130478aaa6fc2d05732e5e8e54d3128662aa,N/A,5fbe0f3adf440a3ea14b54f49ebcc72452118cad,eae8b6e7bcaec42de1523e4717d121350349dbbe,xsikor
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/61,61,736,3,7,594,38,5cb0d0d56928c77e7a867ad4b1462e6fb2056372,N/A,01939325d221247ca1cbcd2838c7fed85aa37f23,6738cfb159818c6d5824289e9dc8585b21a2799f,danieldavidson
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/60,60,736,1,7,646,17,aa0ec37f198e450253c6e53df4acb3324b7cfa4d,N/A,01939325d221247ca1cbcd2838c7fed85aa37f23,aa0ec37f198e450253c6e53df4acb3324b7cfa4d,danieldavidson
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/9,9,612,4,4,239,41,04f258b93e76ac897a95ad85af1b7c5a6742466a,N/A,42ae4d999ac44614047629d14abfc8ad9ebe6db5,ecd9bba67dc5c11c0f0b0d875992a66e27961527,corbt
SouthBridgeAI,offmute,https://github.com/SouthBridgeAI/offmute/pull/4,4,546,1,10,817,3,70198339e1fdb217d8bd707623571caa5144bb02,N/A,1fd9ebcbc9979e960c568260da6f5cbb80030b91,70198339e1fdb217d8bd707623571caa5144bb02,siomochkin
pymc-devs,pytensor,https://github.com/pymc-devs/pytensor/pull/1248,1248,465,1,2,352,0,20a5540e6b149cf4fb60314d35d106105294728c,N/A,7f0312513bbd858383b663b57d55ede189b643e6,20a5540e6b149cf4fb60314d35d106105294728c,twiecki
o1-labs,proof-systems,https://github.com/o1-labs/proof-systems/pull/3175,3175,439,1,11,41,41,a1c0ef594f88433a87605a2b68bd9117b5d4df9d,N/A,f10f91b8f6724a74aac52b9faaad4122fb3b87bf,a1c0ef594f88433a87605a2b68bd9117b5d4df9d,dannywillems
mattermost,docker,https://github.com/mattermost/docker/pull/168,168,390,8,4,95,11,c4f612a762412caa7bc73606f9032a2bd224a9a0,N/A,2308dca02e1a486498bad30c601f15f0eae13fa2,7e0cc8502aa308dd047f8a2642becc12c3f02397,hanzei
monarch-initiative,mondo,https://github.com/monarch-initiative/mondo/pull/8868,8868,252,2,1,59,0,0d41071211dd8e00c26d56c561ca213adfe7dc06,N/A,aec7d61d4df7fbe2ba1f73d835e23cc2549a5d5a,5a5d28c57be28a759b542fc5207c59d6f003fe65,dragon-ai-agent
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1846,1846,249,96,105,13039,2735,363bc5aec8dc2d559751d0303c305fcbdae61bf0,N/A,31a2ef4867a1765df911e7df307ae5f4327fa0e1,7d04fa3e299363f38db33ebde0869110e826ef59,johnjosephhorton
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1760,1760,249,26,336,7830,2651,3316f4f09c0d93c7aed4df2cf629eaafe06b04dd,N/A,1499b9493398625c921b5552e99cab0cfb1b5628,e5e62ba1b7975cec7c0c5482e4deb96f80af7c3e,johnjosephhorton
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1782,1782,249,2,6,114,5,b7335c3e0adf3b80bf9a69ee1d07c9ee56dfc695,N/A,8883aea1765efdbbbf5e6d18b534afe9b023b384,4ff506e315375a6d0129d2f93b3992541ec9cf23,johnjosephhorton
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1733,1733,249,2,20,491,114,4544a0549cad007b5f6707c74eaebc9df27afd8f,N/A,24ac2bd5d7a7e3b384c815b21fdb2c48659c200c,5608f887626e05371a15dcad5d363d964c98c7c1,johnjosephhorton
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1739,1739,249,2,13,950,228,c97051494242b29b623b99f51100de1cb0d11e98,N/A,2d1900258b8d498acdd03d2cb0486608c69033f3,b13ef29a62b459b1eb16394b6f99066106297fee,johnjosephhorton
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1736,1736,249,4,31,1450,195,4544a0549cad007b5f6707c74eaebc9df27afd8f,N/A,24ac2bd5d7a7e3b384c815b21fdb2c48659c200c,ced0c4a5a87ea7c2e1562a7920b1039a591d4d88,johnjosephhorton
brentyi,jaxls,https://github.com/brentyi/jaxls/pull/27,27,207,1,6,106,67,ea3a195818adb16f4c56690a44f8ae033f63966c,N/A,e43d482d747615323c23fb935bf215419ad07f1e,ea3a195818adb16f4c56690a44f8ae033f63966c,brentyi
bendotcodes,cookies,https://github.com/bendotcodes/cookies/pull/872,872,192,3,8,188,64,06ddc7924a4bf235e3ab6b6005b4d710bd9c9fba,N/A,86315e6a475a7167835a56209a766643da283786,09a719ca080be9cb4d21fcaa591bb45f6ace7970,eXon
vectara,vectara-ingest,https://github.com/vectara/vectara-ingest/pull/198,198,178,1,1,29,2,00686c649369b5cb07748839ceb44c052780cf3f,N/A,323d5e3a076c7859cd824338413bd28614c4416c,00686c649369b5cb07748839ceb44c052780cf3f,nikron
ltwlf,json-diff-ts,https://github.com/ltwlf/json-diff-ts/pull/211,211,134,3,6,854,801,83231d3595d1b3f8bd05b66736a3b648748a081f,N/A,c71acc38c6a9b78098d2c25e1c8c6d0f5626f139,689ecc66057d77c36511c3f4dfd4b405b541c6d1,ltwlf
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/599,599,124,2,3,4,2,396ec743ec65318a9ebde4350b1ab3002bfe23fd,N/A,7c545b78f2d4e4fec1b3ca14fad7fea28b79b1df,8e688efdefd7bbbcaba7cfbc3acb3e420cb99082,toyamarinyon
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/671,671,124,4,1,130,0,9f1336d48e9619836af0fe9a897974d2e7c39646,N/A,afdf335fdc5528f1aafb1d22cb5d26335b4256d5,1e98305a05421c76c3dc04f59e85f0b77d1be716,toyamarinyon
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/658,658,124,114,55,3202,420,a192de881025d5bf7549217e05359a0b7b40dd61,N/A,b20b5f6ef11cdf28098c30923eb3ed5529ba9e61,6ebe3c48589df5db0b8184dab7905b9aa43bf1e1,toyamarinyon
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/664,664,124,9,12,151,96,93fb84e9612270fbc9792feaff38889e6284d275,N/A,3432c72c4570dad3aa574a216eff1dc1f9007d26,f7291a6792a83c125537765f1657c25fc1140c70,toyamarinyon
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/151,151,111,2,20,3843,329,5b86af1aa790bc23d885e904b5f1869a627f2ac7,N/A,2d755ff8009b3fee9aebcb9285355476cfb5f83c,ef1c29d8bb0ab775472ebd164e918391312c91ce,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/156,156,111,1,5,375,29,f239bc279116d6a6f21e63339e1ab59ed554732e,N/A,cb237924ff47c9586f5e5424b7fa1a3ecb538da4,f239bc279116d6a6f21e63339e1ab59ed554732e,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/150,150,111,2,7,158,169,8acec5e80ec481b00ec42aedbf7c7d7c6a925480,N/A,9000971b484221842c3bfcbffedd74978aea2e8b,5b86af1aa790bc23d885e904b5f1869a627f2ac7,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/138,138,111,1,2,346,4,c453a2275e0515e4656f5fdd1e556046a6dcc14b,N/A,ce35144b3de506152e7e5f439a499054a5a7c26d,c453a2275e0515e4656f5fdd1e556046a6dcc14b,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/149,149,111,1,2,47,40,f17ca1293b81f35171d12e57d920b47f87b8856c,N/A,9000971b484221842c3bfcbffedd74978aea2e8b,f17ca1293b81f35171d12e57d920b47f87b8856c,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/153,153,111,34,25,4673,981,66c9e7165fb84554327ccd087af24aa9bfa5e9d0,N/A,89c848e380788f4344cc6a27417992d42228027b,d9851f98aac2e48089b120005510a5a9f389703f,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/53,53,111,2,3,47,7,130b588673b9ea059030a806308572896047331b,N/A,d50bf4dbc38750992d47bb40ae1518c1f785e719,2f03984790b60102552d9bdfa865f7664a7059b7,Cheffromspace
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/34,34,111,1,1,2,0,2042cffb7c4eb4aa8ac1af3262d3dcf2c732f7e5,N/A,dccac6dd844a9bcd7697996cf32a5dbf8423411c,2042cffb7c4eb4aa8ac1af3262d3dcf2c732f7e5,MCPClaude
intelligence-assist,MCPControl,https://github.com/intelligence-assist/MCPControl/pull/33,33,111,2,2,6669,0,670ce3c1afab3368fd198c410d923641bb6ab5f5,N/A,591252f44275203c0731b02bc353ac9eeb73e32e,2042cffb7c4eb4aa8ac1af3262d3dcf2c732f7e5,MCPClaude
belladoreai,llama3-tokenizer-js,https://github.com/belladoreai/llama3-tokenizer-js/pull/11,11,108,2,11,12525,39,8c7eaa9ab721a1c74426479cd231ca4969e9b32c,N/A,064ddf3177369cd82639b43d160ebc83b4c1d362,e3f8e6aeb0110753a0b888c5e60da296ca7d93e1,rjeli
Snowflake-Labs,sansshell,https://github.com/Snowflake-Labs/sansshell/pull/548,548,107,2,3,148,0,0daf19b96864f2b74e0a374a508977ddfc9b3ecf,N/A,6486184f84bb035c13c2f6b1da0ea45208c314e6,f2f69697ba44dee865c50a231859fc8c87d48778,gaziz
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6400,6400,92,1,4,85,5,059ca5d334597de3d8d287d6ccfe558ac275d0ae,N/A,749d20649877e32b8f38de9bd8607ae52cbc917b,059ca5d334597de3d8d287d6ccfe558ac275d0ae,wdvr
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6404,6404,92,1,15,736,79,e95cfd79905e11f8e33a79748858f4550c5c6ae3,N/A,749d20649877e32b8f38de9bd8607ae52cbc917b,e95cfd79905e11f8e33a79748858f4550c5c6ae3,wdvr
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6410,6410,92,26,27,1181,137,059ca5d334597de3d8d287d6ccfe558ac275d0ae,N/A,2e7bdc80bb3e7e7444e67a6dba6eb85ee24bbf85,11f7a92c1806e50fe3cd10b5f938cb2b11370d0f,wdvr
xmrit,xmrit,https://github.com/xmrit/xmrit/pull/21,21,89,25,8,3392,388,ab7ccddb0b169aa89ad6e522bc31395544e7894a,N/A,98f9affe70058b97757b2ed17ed4c3ecd9d4ef54,6ebb0fb72bf13b00be86f0056416cc1951bbc13c,mcpeterson
