owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/70,70,77,2,7,454,5,76930e6e81b000c15e1df71e1b1b7ced38a4f726,N/A,ca2d8e9b9e1336601926d2ad062f0c111ce00283,8b7eab7cb1beac3bc2879dee7204f096283d45e0,dbieber
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3650,3650,48,3,5,117,0,1ed53207314f0bc9d2296512774ee9308cbcb6ca,N/A,e4d25a77c70f87bdcc832d3ceacfbf3e7500ec53,bc33ac5f2e594d0ee5c414c867feba00ce3a5d04,aureliusbtc
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3572,3572,48,4,85,28097,65317,52ec417ff8a2d549382390e94bc04027a4350542,N/A,fe8826929029cdfa2d442a56a8d7524943a6b08d,fff69c32ccddc97d5041159d7cb97c27b4b19bc1,trajan0x
coder,modules,https://github.com/coder/modules/pull/417,417,47,1,3,138,0,f76735fc0524add8d109a2b72fca9008f9af66ad,N/A,8b184eb86d447f36c1971424e8638a1b1303313e,f76735fc0524add8d109a2b72fca9008f9af66ad,matifali
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/24,24,45,4,6,488,0,c2f30df2d377a05642a08fc1ab4d737206ec130c,N/A,ebf54cb0d6e3b46010bca9d18519747fb80de406,c8f7f748ec0e4e01aee7d3dfbb345e378582622b,tomakado
coder,packages,https://github.com/coder/packages/pull/210,210,29,1,1,62,0,1758454f0cc8f76cb0861c90f97bddbfa4296b92,N/A,10475a83f8406db424022aec21af14e17909b0c6,1758454f0cc8f76cb0861c90f97bddbfa4296b92,matifali
empirical-org,Empirical-Core,https://github.com/empirical-org/Empirical-Core/pull/12838,12838,27,1,25,1725,0,7436b62986f0163557e283ee140c2f55a50a2231,N/A,21442d90b5fb31565bfa7ce5355877ba405a1266,7436b62986f0163557e283ee140c2f55a50a2231,brendanshean
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/5,5,27,1,9,189,6,93c678e08ee78b11c9a5d59dcf6b1a25bf853bd5,N/A,44132f8c4e0075851972204be8cb2014c57c5ed8,93c678e08ee78b11c9a5d59dcf6b1a25bf853bd5,8enmann
muno92,resharper_inspectcode,https://github.com/muno92/resharper_inspectcode/pull/521,521,26,4,10,2208,5102,2ba450bf9e2fc5218a6a5e4a804e7eb6cab42c18,N/A,38053afd436c33afee300321388d1dcac0df6e87,262530d384fff0b85c0c83ef9ed489a2c7598521,muno92
snapshot-labs,sx-monorepo,https://github.com/snapshot-labs/sx-monorepo/pull/1254,1254,24,1,2,102,88,cda46b8a6ddb1206ba6c845667cafd64f965b711,N/A,d4b1837bc54215ecb01677c7e326d0d18ef08c57,cda46b8a6ddb1206ba6c845667cafd64f965b711,bonustrack
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/51,51,22,1,1,0,185,8fc74b6e964ea7a7f98c379a192593ef87ccaf42,N/A,e7ba4c9f88b375907cb79b8596b36e904626567c,8fc74b6e964ea7a7f98c379a192593ef87ccaf42,austinlparker
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/58,58,22,13,49,2597,1675,7fb4cc426e27f8cea04a405b20bb97f34e404d94,N/A,fe10acc592544bb57d4a9ace7f75b7c9014b6a47,90d5e0217624429cdec86a8375accf853a92c310,austinlparker
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/57,57,22,4,32,1881,1935,0efcf3dba58471a819690a44e7fe323c59643b8a,N/A,fe10acc592544bb57d4a9ace7f75b7c9014b6a47,7b00ea004bffc4aaa3dc5c1314eab28ec0edb938,austinlparker
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/16,16,20,4,2,27,4,9d39469bf846dafa54029f894d9d3c9dd8b85877,N/A,19dab2543fc077584211b67b95522a6058bcc444,a7eb6c00e28a89e5560d7cc8036db1f4d47ef3e4,aklinker1
R-Sandor,FindFirst,https://github.com/R-Sandor/FindFirst/pull/350,350,19,1,7,14501,24,933b04302fbf393aa027c48768db2048568980d1,N/A,7955292f059329499b19438a2368095880556395,933b04302fbf393aa027c48768db2048568980d1,shayesdevel
agorapulse,remember,https://github.com/agorapulse/remember/pull/11,11,18,3,15,565,14,a881f7f868edba0eaa0afccfb738e4e60ab6afd5,N/A,28ad2ea05b8846e57a6b2c3fa0c7110b2796dbe1,b987191e970ea835adbd64524ce3e1e7072d8d68,DKarim
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/31,31,17,2,6,444,388,fc8c3723895ddcd4da74e1a226d728b477d67691,N/A,267d4f13b6905d00ea49c8f023cb3672a0a5f9a2,a1d47a4d406e1efa12eabaa0a8569e5cadc87bbd,carlhoerberg
ceedario,secret-agents,https://github.com/ceedario/secret-agents/pull/2,2,15,1,1,3,0,72a34a92a65eec86f35b7d6e6dc60ff5f542485b,N/A,c7101bab67634904c4f535c44eec805521904632,72a34a92a65eec86f35b7d6e6dc60ff5f542485b,ceedaragent
ceedario,secret-agents,https://github.com/ceedario/secret-agents/pull/1,1,15,1,1,3,0,72a34a92a65eec86f35b7d6e6dc60ff5f542485b,N/A,9ef62dea0fa473dc10f02005c4b6267f5161557f,72a34a92a65eec86f35b7d6e6dc60ff5f542485b,ceedaragent
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/18,18,13,1,8,10,6,4ac2e3d590abf155a1a9c6c8f4d4bc64c1862611,N/A,c791a316e2359a4a3d7d0651cc1b2f7ca823ce28,4ac2e3d590abf155a1a9c6c8f4d4bc64c1862611,justaddcoffee
