owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/117,117,77,1,7,271,36,a251bac86b024d0e766b6e8a98aeaed8ada20ed1,N/A,3d6fc0d4177e4eec5b66e732b71c57950a5da009,a251bac86b024d0e766b6e8a98aeaed8ada20ed1
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/116,116,77,3,1,112,1,4a4ac47d2dd96471acc273f6b23b5495c9e56d15,N/A,3d6fc0d4177e4eec5b66e732b71c57950a5da009,87c3ab28035c6fb13a755111c936cff336636148
reviewdog,action-setup,https://github.com/reviewdog/action-setup/pull/63,63,74,1,1,9,0,4b0a600d27fe535edd9f6b976a1726055916a1e1,N/A,60c4a83f7021d883a29a7ded3562788b63ef1f61,4b0a600d27fe535edd9f6b976a1726055916a1e1
artefactory,choice-learn,https://github.com/artefactory/choice-learn/pull/236,236,60,4,7,742,6,9a56d98550ee08e6e7fbc08088cab3a0fa99202a,N/A,586e6b05256f19f3072b4c4d7601a9b796374a7f,05d031db987c29c3ee92b4f4b03bad7a5f4317f1
aleph-im,aleph-vm,https://github.com/aleph-im/aleph-vm/pull/775,775,49,1,6,253,9,f4fca27e5eb067680578c93cceadf3e5c655dd8f,N/A,8043bf0ffb1bcaf6ca52479689bf8366e90d407d,f4fca27e5eb067680578c93cceadf3e5c655dd8f
geneontology,amigo,https://github.com/geneontology/amigo/pull/728,728,31,1,3,49,0,1e57889d650259a417fbd57baad4b38a48eedbfe,N/A,e2da7cbd1aa4e5c54f43b9cfa32ec89d96fa3371,1e57889d650259a417fbd57baad4b38a48eedbfe
syshen,n8n-nodes-linewebhook,https://github.com/syshen/n8n-nodes-linewebhook/pull/4,4,27,2,29,13752,3754,f7d0a246385ca82bc1582ebf35a86a0cc7360bdf,N/A,6575bd30c82fbb4b73803a3beb12ac078afdc4d8,966107ee455f7d397cddf77aabf05485765af8fa
Olympus-HPC,proteus,https://github.com/Olympus-HPC/proteus/pull/192,192,25,4,22,3285,214,a2bde0953b427c427b9c44deec7eab106a2c9f2a,N/A,3d773908a3ae3af594e6e86b6df591a7a4ebbe6e,ac6916b0f9b8be252be5ff65bd2d1ae7c8246a9a
jittarao,torbox-app,https://github.com/jittarao/torbox-app/pull/4,4,25,2,1,39,0,2c41030a81b63feba7572df1a3b7c423e72a44a7,N/A,c2db843c500be9446ab97adf82393d2838525406,3bf5e94905bdaca28557f591419cacf836ac19b9
monarch-initiative,phenopacket-store,https://github.com/monarch-initiative/phenopacket-store/pull/164,164,24,1,1,55,4,f436e1c11077e5cd8ab3610709942aaaafcf99cb,N/A,92cc6d07cae7ae74bfd3851b0a97bc8d816d4152,f436e1c11077e5cd8ab3610709942aaaafcf99cb
hackdays-io,toban,https://github.com/hackdays-io/toban/pull/354,354,23,3,15,14539,17226,ee50200eae99ea63012055a30e0574fd7bac403d,N/A,550ed7d6d27c1f35afbffdcaf1094604827a60c3,c3f22309c4ad90d05012c1a17e942b23bab16fd7
schalkneethling,makerbench,https://github.com/schalkneethling/makerbench/pull/504,504,21,4,18,1269,4,2b31301de607ec568bd31b4230160ae284cca3b6,N/A,21d102d31332972c167afcc1d699844d9ead9ee4,d95ad6257e783baf994221b70994ef8a128c9e50
joeblackwaslike,coinaddr,https://github.com/joeblackwaslike/coinaddr/pull/15,15,20,2,11,1380,105,051e2ad7159ff5ff8123f74c47ba07fec9e018b6,N/A,bdacbac7fd0e23567c771cbee50523fe592df934,9334c54cca6b934bc3898892ee11069d41f55b87
alexlib,pyptv,https://github.com/alexlib/pyptv/pull/82,82,19,27,59,13662,93,35f6a15e82e0ce12636e95194283d2366cf378e4,N/A,cd85e3c49d635f64123d9a2cdebe2a3429fdc3ad,cbf444040956c07e066b34180166920a21f75e35
ApeWorX,ape-safe,https://github.com/ApeWorX/ape-safe/pull/72,72,18,2,20,1428,389,cb5909952f65d2c7cf99b6333506ae7de25104c0,N/A,dec57581f7c8338124fa73fb6447e871951e0ecf,1a598262ee979512e051787914350277c85205d9
MetaGLM,glm-realtime-sdk,https://github.com/MetaGLM/glm-realtime-sdk/pull/8,8,17,1,4,665,27,f60cd4fe428207f3796fc62d0803a6b64147e204,N/A,ba200a95bd16f2309dcb44d88195456bedb890a3,f60cd4fe428207f3796fc62d0803a6b64147e204
dschonholtz,ValueInvestorsClub,https://github.com/dschonholtz/ValueInvestorsClub/pull/12,12,15,1,1,245,0,d933da486d0ba43be522459628aef88904fcc706,N/A,5cac8ea0366e7423164b2b2b4bc095402d5783d3,d933da486d0ba43be522459628aef88904fcc706
PlebFM,PlebFM,https://github.com/PlebFM/PlebFM/pull/107,107,14,23,94,3384,921,96587816ecf125dcc509ba37b7ae28315643e2ae,N/A,a22f27232e4e92765f4c7417e99b0b0c8c67f156,1b30fde4c9d378c8b2e37c5424c321647f5c61ce
