owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
expectedparrot,edsl,520,https://github.com/expectedparrot/edsl/pull/520,MERGED,3,485,417,902,2,0,614,118,732,11
expectedparrot,edsl,615,https://github.com/expectedparrot/edsl/pull/615,MERGED,1,7,4,11,0,0,18888,5525,24413,8
expectedparrot,edsl,1772,https://github.com/expectedparrot/edsl/pull/1772,MERGED,12,2888,984,3872,12,9,260,66,326,7
fossas,fossa-cli,1424,https://github.com/fossas/fossa-cli/pull/1424,MERGED,4,5,6,11,1,0,143,23,166,5
giselles-ai,giselle,28,https://github.com/giselles-ai/giselle/pull/28,MERGED,1,1,0,1,0,0,60,17,77,6
giselles-ai,giselle,47,https://github.com/giselles-ai/giselle/pull/47,MERGED,1,1,1,2,0,0,131,138,269,5
giselles-ai,giselle,48,https://github.com/giselles-ai/giselle/pull/48,MERGED,2,1,3,4,0,0,2367,154,2521,19
giselles-ai,giselle,54,https://github.com/giselles-ai/giselle/pull/54,MERGED,11,244,860,1104,2,0,1458,483,1941,27
giselles-ai,giselle,72,https://github.com/giselles-ai/giselle/pull/72,MERGED,1,16,1143,1159,1,0,4,4,8,3
giselles-ai,giselle,81,https://github.com/giselles-ai/giselle/pull/81,MERGED,1,1,1,2,0,0,193,57,250,8
giselles-ai,giselle,106,https://github.com/giselles-ai/giselle/pull/106,MERGED,9,7649,2114,9763,19,0,219,48,267,6
giselles-ai,giselle,129,https://github.com/giselles-ai/giselle/pull/129,MERGED,5,107,16,123,0,0,6341,2103,8444,38
giselles-ai,giselle,149,https://github.com/giselles-ai/giselle/pull/149,MERGED,2,1760,0,1760,7,0,0,0,0,0
giselles-ai,giselle,161,https://github.com/giselles-ai/giselle/pull/161,MERGED,1,1,1,2,0,0,254,42,296,4
giselles-ai,giselle,184,https://github.com/giselles-ai/giselle/pull/184,MERGED,1,7,1,8,0,0,27,14,41,2
giselles-ai,giselle,201,https://github.com/giselles-ai/giselle/pull/201,MERGED,3,105,63,168,1,0,363,15,378,9
giselles-ai,giselle,203,https://github.com/giselles-ai/giselle/pull/203,MERGED,1,20,9,29,1,0,65,30,95,2
giselles-ai,giselle,270,https://github.com/giselles-ai/giselle/pull/270,MERGED,5,4250,4725,8975,0,0,6972,1006,7978,29
giselles-ai,giselle,280,https://github.com/giselles-ai/giselle/pull/280,MERGED,1,4,0,4,2,0,2148,1,2149,4
giselles-ai,giselle,285,https://github.com/giselles-ai/giselle/pull/285,MERGED,3,12,1,13,2,0,9207,9202,18409,108
giselles-ai,giselle,299,https://github.com/giselles-ai/giselle/pull/299,MERGED,4,1051,1110,2161,1,0,3172,0,3172,30
giselles-ai,giselle,309,https://github.com/giselles-ai/giselle/pull/309,MERGED,2,48,43,91,2,0,5479,591,6070,63
giselles-ai,giselle,397,https://github.com/giselles-ai/giselle/pull/397,MERGED,2,9,9,18,0,0,111,94,205,15
giselles-ai,giselle,414,https://github.com/giselles-ai/giselle/pull/414,MERGED,1,1,227,228,2,0,500,242,742,22
