owner,repo_name,url,state,stars
mattermost,mattermost-developer-documentation,https://github.com/mattermost/mattermost-developer-documentation/pull/1388,MERGED,84
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/44,MERGED,656
coder,coder,https://github.com/coder/coder/pull/16457,MERGED,9997
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/783,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/397,MERGED,126
renlabs-dev,torus-ts,https://github.com/renlabs-dev/torus-ts/pull/130,MERGED,12
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/7,MERGED,121
pozar87,apts,https://github.com/pozar87/apts/pull/10,MERGED,10
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/25,MERGED,18
JoshuaC215,agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/68,MERGED,3015
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/412,MERGED,250
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/4,MERGED,38
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/44,MERGED,23
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/47,MERGED,868
brentyi,tyro,https://github.com/brentyi/tyro/pull/255,MERGED,646
making,yavi,https://github.com/making/yavi/pull/455,MERGED,810
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/50,MERGED,990
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/80,MERGED,18
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/232,MERGED,126
llun,activities.next,https://github.com/llun/activities.next/pull/73,MERGED,68
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/61,MERGED,990
567-labs,instructor,https://github.com/567-labs/instructor/pull/1407,MERGED,10691
coder,coder,https://github.com/coder/coder/pull/16187,MERGED,9997
airbytehq,airbyte,https://github.com/airbytehq/airbyte/pull/56401,MERGED,18350
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/597,MERGED,250
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/817,MERGED,142
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/66,MERGED,29
muno92,resharper_inspectcode,https://github.com/muno92/resharper_inspectcode/pull/476,MERGED,26
567-labs,instructor,https://github.com/567-labs/instructor/pull/1430,MERGED,10691
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/164,MERGED,126
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/214,MERGED,1223
alexfedosov,move-tool,https://github.com/alexfedosov/move-tool/pull/3,MERGED,78
coder,coder,https://github.com/coder/coder/pull/15415,MERGED,9997
qltysh,qlty,https://github.com/qltysh/qlty/pull/1945,MERGED,2655
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/114,MERGED,868
OpenAdaptAI,OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/680,MERGED,1289
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/74,MERGED,126
llun,activities.next,https://github.com/llun/activities.next/pull/89,MERGED,68
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/48,MERGED,25
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/22,MERGED,17
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/546,MERGED,250
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/34,MERGED,109
codefriar,sf-mcp,https://github.com/codefriar/sf-mcp/pull/2,MERGED,28
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/13882,MERGED,9923
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/105,MERGED,77
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/85,MERGED,29
coder,coder,https://github.com/coder/coder/pull/17356,MERGED,9997
coder,coder,https://github.com/coder/coder/pull/14786,MERGED,9997
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/737,MERGED,126
dxos,dxos,https://github.com/dxos/dxos/pull/6916,MERGED,429
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/59,MERGED,868
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/2,MERGED,16
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/59,MERGED,77
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/251,MERGED,1223
oven-sh,bun,https://github.com/oven-sh/bun/pull/11211,MERGED,78437
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/203,MERGED,126
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/29506,MERGED,32708
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/1,MERGED,29
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/44,MERGED,29
danmayer,coverband,https://github.com/danmayer/coverband/pull/538,MERGED,2565
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/442,MERGED,1223
artsy,eigen,https://github.com/artsy/eigen/pull/10279,MERGED,3667
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6336,MERGED,93
devondragon,SpringUserFramework,https://github.com/devondragon/SpringUserFramework/pull/168,MERGED,152
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/112,MERGED,29
shopwareLabs,extension-verifier,https://github.com/shopwareLabs/extension-verifier/pull/19,MERGED,32
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/28,MERGED,126
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/601,MERGED,250
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2361,MERGED,19376
coder,coder,https://github.com/coder/coder/pull/16563,MERGED,9997
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/47,MERGED,36
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/56,MERGED,77
brentyi,tyro,https://github.com/brentyi/tyro/pull/176,MERGED,646
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/62,MERGED,77
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/38,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/86,MERGED,126
bendotcodes,cookies,https://github.com/bendotcodes/cookies/pull/866,MERGED,193
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/2447,MERGED,6767
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/491,MERGED,322
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/407,MERGED,322
