owner,repo_name,url,state,stars
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/32,MERGED,25
567-labs,instructor,https://github.com/567-labs/instructor/pull/1399,MERGED,10691
mattgodbolt,jsbeeb,https://github.com/mattgodbolt/jsbeeb/pull/483,MERGED,363
thefrontside,effection,https://github.com/thefrontside/effection/pull/992,MERGED,705
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30464,MERGED,32708
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/116,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/697,MERGED,126
artsy,eigen,https://github.com/artsy/eigen/pull/11672,MERGED,3667
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30601,MERGED,32708
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/99,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/692,MERGED,126
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/27,MERGED,109
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30607,MERGED,32708
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/567,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/562,MERGED,126
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/421,MERGED,1223
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/37,MERGED,18
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30611,MERGED,32708
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/45,MERGED,36
proboscis,pinjected,https://github.com/proboscis/pinjected/pull/84,MERGED,14
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/722,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/789,MERGED,126
llun,feeds,https://github.com/llun/feeds/pull/499,MERGED,39
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/168,MERGED,229
brentyi,tyro,https://github.com/brentyi/tyro/pull/270,MERGED,646
qltysh,qlty,https://github.com/qltysh/qlty/pull/1964,MERGED,2655
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/75,MERGED,868
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/724,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/667,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/650,MERGED,126
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/17,MERGED,46
mainframecomputer,orchestra,https://github.com/mainframecomputer/orchestra/pull/54,MERGED,677
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/431,MERGED,322
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/20,MERGED,20
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/12,MERGED,128
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/768,MERGED,126
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/22,MERGED,14
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/566,MERGED,126
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/426,MERGED,322
JoshuaC215,agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/202,MERGED,3015
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/3,MERGED,128
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/607,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/732,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/728,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/80,MERGED,29
brentyi,tyro,https://github.com/brentyi/tyro/pull/266,MERGED,646
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30424,MERGED,32708
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/15815,MERGED,9923
commontoolsinc,labs,https://github.com/commontoolsinc/labs/pull/837,MERGED,18
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/106,MERGED,29
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/102,MERGED,77
grapeot,web_agentic_ai,https://github.com/grapeot/web_agentic_ai/pull/27,MERGED,30
umputun,tg-spam,https://github.com/umputun/tg-spam/pull/260,MERGED,333
poap-xyz,poap.js,https://github.com/poap-xyz/poap.js/pull/167,MERGED,12
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/102,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/649,MERGED,126
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/427,MERGED,322
defog-ai,defog-python,https://github.com/defog-ai/defog-python/pull/83,MERGED,48
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/29,MERGED,109
PolicyEngine,policyengine-app,https://github.com/PolicyEngine/policyengine-app/pull/2373,MERGED,57
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/100,MERGED,29
basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/pull/15,MERGED,811
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/594,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/617,MERGED,126
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/71,MERGED,868
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/574,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/513,MERGED,126
brentyi,tyro,https://github.com/brentyi/tyro/pull/276,MERGED,646
Erlemar,pytorch_tempest,https://github.com/Erlemar/pytorch_tempest/pull/67,MERGED,220
github,github-mcp-server,https://github.com/github/github-mcp-server/pull/118,MERGED,15004
devondragon,SpringUserFramework,https://github.com/devondragon/SpringUserFramework/pull/163,MERGED,152
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/832,MERGED,142
umputun,spot,https://github.com/umputun/spot/pull/258,MERGED,441
oven-sh,bun,https://github.com/oven-sh/bun/pull/17832,MERGED,78436
pozar87,apts,https://github.com/pozar87/apts/pull/14,MERGED,10
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/4,MERGED,128
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/14,MERGED,109
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/118,MERGED,29
llun,activities.next,https://github.com/llun/activities.next/pull/104,MERGED,68
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30463,MERGED,32708
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30624,MERGED,32708
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2860,MERGED,19376
samzong,mdctl,https://github.com/samzong/mdctl/pull/15,MERGED,15
bearcove,dylo,https://github.com/bearcove/dylo/pull/13,MERGED,20
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/6,MERGED,38
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/7,MERGED,38
brentyi,tyro,https://github.com/brentyi/tyro/pull/267,MERGED,646
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/3527,MERGED,4620
qltysh,qlty,https://github.com/qltysh/qlty/pull/1595,MERGED,2655
coder,coder,https://github.com/coder/coder/pull/17161,MERGED,9997
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/70,MERGED,868
brentyi,tyro,https://github.com/brentyi/tyro/pull/291,MERGED,646
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/13,MERGED,128
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/611,MERGED,126
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/423,MERGED,1223
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/582,MERGED,126
567-labs,instructor,https://github.com/567-labs/instructor/pull/1479,MERGED,10691
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/100,MERGED,77
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/105,MERGED,16
brentyi,tyro,https://github.com/brentyi/tyro/pull/290,MERGED,646
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30581,MERGED,32708
brentyi,tyro,https://github.com/brentyi/tyro/pull/289,MERGED,646
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/163,MERGED,29
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1730,MERGED,250
brentyi,tyro,https://github.com/brentyi/tyro/pull/265,MERGED,646
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/429,MERGED,1223
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/90,MERGED,29
compiler-explorer,infra,https://github.com/compiler-explorer/infra/pull/1598,MERGED,373
dominikszopa,fundraising-website,https://github.com/dominikszopa/fundraising-website/pull/86,MERGED,16
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/597,MERGED,126
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/20,MERGED,14
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/744,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/115,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/718,MERGED,126
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/49,MERGED,23
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/107,MERGED,29
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30676,MERGED,32708
